word,combo,type,alt1,alt2,alt3
the,t,DET,,,
be,,AUX,,,
and,a,CCONJ,,,
a,,DET,,,
you,y,PRON,,,
it,,PRON,,,
have,h,VERB,has,had,having
I,,PRON,,,
he,,PRON,,,
that,th,SCONJ,,,
or,,CCONJ,,,
your,yr,PRON,,,
that,,PRON,,,
his,hi,PRON,,,
an,,DET,,,
can,c,AUX,,,
but,b,CCONJ,,,
will,w,AUX,,,
they,te,PRON,,,
this,ti,DET,,,
do,,AUX,,,
which,wh,PRON,,,
if,,SCONJ,,,
we,,PRON,,,
be,,VERB,is,was,being
say,s,VERB,says,said,saying
make,m,VERB,makes,made,making
their,tr,PRON,,,
also,as,ADV,,,
use,u,VERB,uses,used,using
when,we,SCONJ,,,
as,,SCONJ,,,
her,he,PRON,,,
time,tm,NOUN,times,,
do,,VERB,does,did,doing
who,wo,PRON,,,
she,sh,PRON,,,
other,o,ADJ,,,
take,ta,VERB,takes,took,taking
would,wd,AUX,,,
get,g,VERB,gets,got,getting
go,,VERB,goes,went,going
so,,ADV,,,
them,the,PRON,,,
this,,PRON,,,
good,gd,ADJ,,,
people,p,NOUN,peoples,,
see,se,VERB,sees,saw,seeing
know,k,VERB,knows,knew,knowing
year,ya,NOUN,years,,
my,,PRON,,,
its,i,PRON,,,
him,hm,PRON,,,
more,me,ADV,,,
all,al,PRON,,,
some,so,DET,,,
there,thr,PRON,,,
then,tn,ADV,,,
where,whe,SCONJ,,,
think,tk,VERB,thinks,thought,thinking
come,ce,VERB,comes,came,coming
what,wa,PRON,,,
may,ma,AUX,,,
find,f,VERB,finds,found,finding
these,ts,DET,,,
how,ho,SCONJ,,,
no,,DET,,,
could,co,AUX,,,
our,or,PRON,,,
first,ft,ADJ,,,
very,v,ADV,,,
include,ie,VERB,includes,included,including
only,on,ADV,,,
day,d,NOUN,days,,
way,wy,NOUN,ways,,
just,j,ADV,,,
as,,ADV,,,
give,ge,VERB,gives,gave,giving
such,sc,ADJ,,,
me,,PRON,,,
many,mn,ADJ,,,
should,sd,AUX,,,
any,an,DET,,,
that,,DET,,,
want,wt,VERB,wants,wanted,wanting
well,wl,ADV,,,
area,ae,NOUN,areas,,
need,n,VERB,needs,needed,needing
most,ms,ADV,,,
city,ct,NOUN,cities,,
all,,DET,,,
image,ia,NOUN,images,,
look,l,VERB,looks,looked,looking
high,hg,ADJ,,,
There,,PRON,,,
now,nw,ADV,,,
new,ne,ADJ,,,
man,man,NOUN,men,,
life,le,NOUN,lives,,
while,wi,SCONJ,,,
because,ba,SCONJ,,,
thing,thi,NOUN,things,,
of,,SCONJ,,,
become,be,VERB,becomes,became,becoming
however,hr,ADV,,,
part,pa,NOUN,parts,,
great,ga,ADJ,,,
work,wk,VERB,works,worked,working
show,sho,VERB,shows,showed,showing
work,,NOUN,works,,
large,lae,ADJ,,,
small,sl,ADJ,,,
country,cn,NOUN,countries,,
by,,SCONJ,,,
even,e,ADV,,,
study,su,NOUN,studies,,
follow,fo,VERB,follows,followed,following
in,,SCONJ,,,
system,ste,NOUN,systems,,
different,de,ADJ,,,
leave,lv,VERB,leaves,leaved,leaving
place,pe,NOUN,places,,
try,ty,VERB,tries,tried,trying
help,hp,VERB,helps,helped,helping
run,r,VERB,runs,ran,running
more,,ADJ,,,
child,ch,NOUN,children,,
same,sae,ADJ,,,
number,nr,NOUN,numbers,,
old,od,ADJ,,,
much,mc,ADV,,,
call,ca,VERB,calls,called,calling
tell,tl,VERB,tells,told,telling
water,wat,NOUN,water,,
service,si,NOUN,services,,
town,to,NOUN,towns,,
government,gt,NOUN,governments,,
keep,ke,VERB,keeps,kept,keeping
here,her,ADV,,,
family,fa,NOUN,families,,
still,sti,ADV,,,
for,fr,SCONJ,,,
several,sr,ADJ,,,
feel,fe,VERB,feels,felt,feeling
start,sat,VERB,starts,started,starting
ask,ak,VERB,asks,asked,asking
own,own,ADJ,,,
back,bc,ADV,,,
consider,ci,VERB,considers,considered,considering
name,nae,NOUN,names,,
there,,ADV,,,
important,ir,ADJ,,,
provide,pi,VERB,provides,provided,providing
each,eah,DET,,,
step,sp,NOUN,steps,,
world,wod,NOUN,worlds,,
What,,PRON,,,
local,lc,ADJ,,,
lead,ld,VERB,leads,led,leading
after,ar,SCONJ,,,
home,hme,NOUN,homes,,
before,br,SCONJ,,,
issue,iu,NOUN,issues,,
group,gr,NOUN,groups,,
every,er,DET,,,
write,wte,VERB,writes,wrote,writing
most,,ADJ,,,
last,lat,ADJ,,,
might,mi,AUX,,,
few,fw,ADJ,,,
result,ret,NOUN,results,,
information,in,NOUN,information,,
hold,hd,VERB,holds,held,holding
state,stae,NOUN,states,,
put,pt,VERB,puts,put,putting
process,pr,NOUN,processes,,
food,fd,NOUN,foods,,
bring,bi,VERB,brings,brought,bringing
serve,ser,VERB,serves,served,serving
case,cae,NOUN,cases,,
level,lve,NOUN,levels,,
another,ah,DET,,,
minute,mu,NOUN,minutes,,
member,mr,NOUN,members,,
side,sie,NOUN,sides,,
us,,PRON,,,
about,ao,ADV,,,
method,mo,NOUN,methods,,
book,bo,NOUN,books,,
point,pn,NOUN,points,,
hand,hn,NOUN,hands,,
too,,ADV,,,
low,lo,ADJ,,,
car,cr,NOUN,cars,,
bus,bs,NOUN,buss,,
woman,woa,NOUN,women,,
die,di,VERB,dies,died,dying
hour,hu,NOUN,hours,,
never,nv,ADV,,,
must,mst,AUX,,,
allow,alo,VERB,allows,allowed,allowing
increase,iae,VERB,increases,increased,increasing
live,li,VERB,lives,lived,living
model,moe,NOUN,models,,
far,far,ADV,,,
why,why,SCONJ,,,
play,py,VERB,plays,played,playing
party,pat,NOUN,parties,,
lot,lot,NOUN,lots,,
something,sn,NOUN,somethings,,
always,als,ADV,,,
some,,PRON,,,
datum,da,NOUN,data,,
due,du,ADJ,,,
second,sec,ADJ,,,
add,,VERB,adds,added,adding
mean,mea,VERB,means,meant,meaning
base,bae,VERB,bases,based,basing
line,ln,NOUN,lines,,
create,cat,VERB,creates,created,creating
next,net,ADJ,,,
order,oe,NOUN,orders,,
main,mai,ADJ,,,
late,lte,ADV,,,
problem,po,NOUN,problems,,
little,lit,ADJ,,,
really,rea,ADV,,,
understand,ue,VERB,understands,understood,understanding
train,tai,NOUN,trains,,
build,bd,VERB,builds,built,building
often,otn,ADV,,,
believe,bl,VERB,believes,believed,believing
end,end,NOUN,ends,,
offer,ofr,VERB,offers,offered,offering
dog,dog,NOUN,dogs,,
death,dah,NOUN,deaths,,
person,pes,NOUN,people,,
example,ex,NOUN,examples,,
big,,ADJ,,,
other,,NOUN,others,,
power,per,NOUN,powers,,
let,,VERB,lets,let,letting
long,lg,ADJ,,,
continue,cte,VERB,continues,continued,continuing
site,site,NOUN,sites,,
long,,ADV,,,
require,ru,VERB,requires,required,requiring
house,hse,NOUN,houses,,
read,rd,VERB,reads,read,reading
free,fre,ADJ,,,
both,bh,DET,,,
choose,che,VERB,chooses,chose,choosing
begin,bn,VERB,begins,began,beginning
region,rei,NOUN,regions,,
set,,VERB,sets,set,setting
seem,sem,VERB,seems,seemed,seeming
friend,fi,NOUN,friends,,
again,ain,ADV,,,
speak,sk,VERB,speaks,spoke,speaking
effect,eft,NOUN,effects,,
receive,rec,VERB,receives,received,receiving
early,ey,ADJ,,,
community,cu,NOUN,communities,,
move,mv,VERB,moves,moved,moving
business,bu,NOUN,businesses,,
station,sai,NOUN,stations,,
young,yn,ADJ,,,
possible,pie,ADJ,,,
research,rah,NOUN,research,,
eye,,NOUN,eyes,,
change,cha,NOUN,changes,,
school,sch,NOUN,schools,,
those,ths,PRON,,,
turn,tu,VERB,turns,turned,turning
although,ath,SCONJ,,,
value,va,NOUN,values,,
involve,io,VERB,involves,involved,involving
month,mth,NOUN,months,,
road,roa,NOUN,roads,,
talk,tak,VERB,talks,talked,talking
use,,NOUN,uses,,
pay,pay,VERB,pays,payed,paying
those,,DET,,,
like,lk,VERB,likes,liked,liking
grow,gw,VERB,grows,grew,growing
company,cy,NOUN,companies,,
activity,aci,NOUN,activities,,
develop,dv,VERB,develops,developed,developing
report,rot,VERB,reports,reported,reporting
change,,VERB,changes,changed,changing
night,nht,NOUN,nights,,
kill,ki,VERB,kills,killed,killing
head,hed,NOUN,heads,,
political,pc,ADJ,,,
available,ave,ADJ,,,
able,abl,ADJ,,,
reach,rac,VERB,reaches,reached,reaching
stand,san,VERB,stands,stood,standing
team,tea,NOUN,teams,,
major,mj,ADJ,,,
election,eti,NOUN,elections,,
event,ev,NOUN,events,,
win,win,VERB,wins,won,winning
type,tye,NOUN,types,,
game,gae,NOUN,games,,
energy,enr,NOUN,energies,,
right,rih,NOUN,rights,,
son,son,NOUN,sons,,
health,heat,NOUN,healths,,
public,pu,ADJ,,,
buy,by,VERB,buys,bought,buying
condition,cd,NOUN,conditions,,
pass,pas,VERB,passes,passed,passing
learn,lan,VERB,learns,learnt,learning
development,dn,NOUN,developments,,
stop,sto,VERB,stops,stopped,stopping
room,rom,NOUN,rooms,,
money,my,NOUN,monies,,
week,wek,NOUN,weeks,,
least,lst,ADJ,,,
lose,lse,VERB,loses,lost,losing
yourself,ys,PRON,,,
