word,chord,reserved_chord,type,alt1,alt2,alt3
the,t,,DET,,,
be,,,AUX,,,
and,a,,CCONJ,,,
a,,,DET,,,
you,y,,PRON,,,
it,,,PRON,,,
have,h,,VERB,has,had,having
I,,,PRON,,,
he,,,PRON,,,
that,th,,SCONJ,,,
or,,,CCONJ,,,
your,yr,,PRON,,,
that,,,PRON,,,
his,hi,,PRON,,,
an,,,DET,,,
can,c,,AUX,,,
but,b,,CCONJ,,,
will,w,,AUX,,,
they,te,,PRON,,,
this,ti,,DET,,,
do,,,AUX,,,
which,wh,,PRON,,,
if,,,SCONJ,,,
we,,,PRON,,,
be,,,VERB,is,was,being
say,s,,VERB,says,said,saying
make,m,,VERB,makes,made,making
their,tr,,PRON,,,
also,as,,ADV,,,
use,u,,VERB,uses,used,using
when,we,,SCONJ,,,
as,,,SCONJ,,,
her,he,,PRON,,,
time,tm,,NOUN,times,,
do,,,VERB,does,did,doing
who,wo,,PRON,,,
she,sh,,PRON,,,
other,o,,ADJ,,,
take,ta,,VERB,takes,took,taking
would,wu,,AUX,,,
get,g,,VERB,gets,got,getting
go,,,VERB,goes,went,going
so,,,ADV,,,
them,the,,PRON,,,
this,,,PRON,,,
good,gd,,ADJ,,,
people,p,,NOUN,peoples,,
see,se,,VERB,sees,saw,seeing
know,k,,VERB,knows,knew,knowing
year,ya,,NOUN,years,,
my,,,PRON,,,
its,i,,PRON,,,
him,hm,,PRON,,,
more,me,,ADV,,,
all,al,,PRON,,,
some,so,,DET,,,
there,thr,,PRON,,,
then,tn,,ADV,,,
where,whe,,SCONJ,,,
think,tk,,VERB,thinks,thought,thinking
come,ce,,VERB,comes,came,coming
what,wa,,PRON,,,
may,ma,,AUX,,,
find,f,,VERB,finds,found,finding
these,ths,,DET,,,
how,ho,,SCONJ,,,
no,,,DET,,,
could,co,,AUX,,,
our,or,,PRON,,,
first,ft,,ADJ,,,
very,v,,ADV,,,
include,ie,,VERB,includes,included,including
only,on,,ADV,,,
day,d,,NOUN,days,,
way,wy,,NOUN,ways,,
just,j,,ADV,,,
as,,,ADV,,,
give,ge,,VERB,gives,gave,giving
such,sc,,ADJ,,,
me,,,PRON,,,
many,mn,,ADJ,,,
should,su,,AUX,,,
any,an,,DET,,,
that,,,DET,,,
want,wt,,VERB,wants,wanted,wanting
well,wl,,ADV,,,
area,ae,,NOUN,areas,,
need,n,,VERB,needs,needed,needing
most,ms,,ADV,,,
city,ct,,NOUN,cities,,
all,,,DET,,,
image,ia,,NOUN,images,,
look,l,,VERB,looks,looked,looking
high,hg,,ADJ,,,
There,,,PRON,,,
now,nw,,ADV,,,
new,ne,,ADJ,,,
man,man,,NOUN,men,,
life,li,,NOUN,lives,,
while,wi,,SCONJ,,,
because,be,,SCONJ,,,
thing,thi,,NOUN,things,,
of,,,SCONJ,,,
become,bo,,VERB,becomes,became,becoming
however,hr,,ADV,,,
part,pa,,NOUN,parts,,
great,ga,,ADJ,,,
work,wk,,VERB,works,worked,working
show,sw,,VERB,shows,showed,showing
work,,,NOUN,works,,
large,lae,,ADJ,,,
small,sl,,ADJ,,,
country,cn,,NOUN,countries,,
by,,,SCONJ,,,
even,e,,ADV,,,
study,sd,,NOUN,studies,,
follow,fo,,VERB,follows,followed,following
in,,,SCONJ,,,
system,ste,,NOUN,systems,,
different,de,,ADJ,,,
leave,lv,,VERB,leaves,leaved,leaving
place,pe,,NOUN,places,,
try,ty,,VERB,tries,tried,trying
help,hl,,VERB,helps,helped,helping
run,r,,VERB,runs,ran,running
more,,,ADJ,,,
child,ch,,NOUN,children,,
same,sae,,ADJ,,,
number,nr,,NOUN,numbers,,
old,ol,,ADJ,,,
much,mc,,ADV,,,
call,ca,,VERB,calls,called,calling
tell,tl,,VERB,tells,told,telling
water,wat,,NOUN,water,,
service,si,,NOUN,services,,
town,ton,,NOUN,towns,,
government,gt,,NOUN,governments,,
keep,ke,,VERB,keeps,kept,keeping
here,her,,ADV,,,
family,fa,,NOUN,families,,
still,sti,,ADV,,,
for,fr,,SCONJ,,,
several,sr,,ADJ,,,
feel,fe,,VERB,feels,felt,feeling
start,sta,,VERB,starts,started,starting
ask,ak,,VERB,asks,asked,asking
own,own,,ADJ,,,
back,ba,,ADV,,,
consider,ci,,VERB,considers,considered,considering
name,nae,,NOUN,names,,
there,,,ADV,,,
important,ir,,ADJ,,,
provide,pi,,VERB,provides,provided,providing
each,eah,,DET,,,
step,sp,,NOUN,steps,,
world,wd,,NOUN,worlds,,
What,,,PRON,,,
local,lc,,ADJ,,,
lead,ld,,VERB,leads,led,leading
after,ar,,SCONJ,,,
home,hme,,NOUN,homes,,
before,br,,SCONJ,,,
issue,iu,,NOUN,issues,,
group,gr,,NOUN,groups,,
every,er,,DET,,,
write,wte,,VERB,writes,wrote,writing
most,,,ADJ,,,
last,lat,,ADJ,,,
might,mi,,AUX,,,
few,fw,,ADJ,,,
result,ret,,NOUN,results,,
information,in,,NOUN,information,,
hold,hd,,VERB,holds,held,holding
state,stae,,NOUN,states,,
put,pt,,VERB,puts,put,putting
process,pr,,NOUN,processes,,
food,fd,,NOUN,foods,,
bring,bn,,VERB,brings,brought,bringing
serve,ser,,VERB,serves,served,serving
case,cae,,NOUN,cases,,
level,lev,,NOUN,levels,,
another,ah,,DET,,,
minute,mu,,NOUN,minutes,,
member,mr,,NOUN,members,,
side,sie,,NOUN,sides,,
us,,,PRON,,,
about,ao,,ADV,,,
method,met,,NOUN,methods,,
book,bk,,NOUN,books,,
point,pn,,NOUN,points,,
