word,chord,reserved_chord,type,alt1,alt2,alt3
the,t,,DET,,,
be,,,AUX,,,
and,a,,CCONJ,,,
a,,,DET,,,
you,y,,PRON,,,
it,,,PRON,,,
have,h,,VERB,has,had,having
I,,,PRON,,,
he,,,PRON,,,
that,ta,,SCONJ,,,
or,,,CCONJ,,,
your,yo,,PRON,,,
that,,,PRON,,,
his,hs,,PRON,,,
an,,,DET,,,
can,c,,AUX,,,
but,b,,CCONJ,,,
will,w,,AUX,,,
they,te,,PRON,,,
this,ts,,DET,,,
do,,,AUX,,,
which,wi,,PRON,,,
if,,,SCONJ,,,
we,,,PRON,,,
be,,,VERB,is,was,being
say,s,,VERB,says,said,saying
make,m,,VERB,makes,made,making
their,ti,,PRON,,,
also,al,,ADV,,,
use,u,,VERB,uses,used,using
when,wn,,SCONJ,,,
as,,,SCONJ,,,
her,he,,PRON,,,
time,tm,,NOUN,times,,
do,,,VERB,does,did,doing
who,wo,,PRON,,,
she,se,,PRON,,,
other,o,,ADJ,,,
take,tae,,VERB,takes,took,taking
would,wl,,AUX,,,
get,g,,VERB,gets,got,getting
go,,,VERB,goes,went,going
so,,,ADV,,,
them,tem,,PRON,,,
this,,,PRON,,,
good,go,,ADJ,,,
people,p,,NOUN,peoples,,
see,,,VERB,sees,saw,seeing
know,k,,VERB,knows,knew,knowing
year,ya,,NOUN,years,,
my,,,PRON,,,
its,i,,PRON,,,
him,hi,,PRON,,,
more,me,,ADV,,,
all,,,PRON,,,
some,so,,DET,,,
there,tr,,PRON,,,
then,tn,,ADV,,,
where,we,,SCONJ,,,
think,tk,,VERB,thinks,thought,thinking
come,ce,,VERB,comes,came,coming
what,wa,,PRON,,,
may,my,,AUX,,,
find,f,,VERB,finds,found,finding
these,tes,,DET,,,
how,ho,,SCONJ,,,
no,,,DET,,,
could,cl,,AUX,,,
our,ou,,PRON,,,
first,ft,,ADJ,,,
very,v,,ADV,,,
include,ie,,VERB,includes,included,including
only,on,,ADV,,,
day,d,,NOUN,days,,
way,,,NOUN,ways,,
just,j,,ADV,,,
as,,,ADV,,,
give,ge,,VERB,gives,gave,giving
such,su,,ADJ,,,
me,,,PRON,,,
many,mn,,ADJ,,,
should,sl,,AUX,,,
any,an,,DET,,,
that,,,DET,,,
want,wan,,VERB,wants,wanted,wanting
well,wel,,ADV,,,
area,ae,,NOUN,areas,,
need,n,,VERB,needs,needed,needing
most,ms,,ADV,,,
city,ct,,NOUN,cities,,
all,,,DET,,,
image,ia,,NOUN,images,,
look,l,,VERB,looks,looked,looking
high,hg,,ADJ,,,
There,,,PRON,,,
now,now,,ADV,,,
new,ne,,ADJ,,,
man,,,NOUN,men,,
life,le,,NOUN,lives,,
while,wie,,SCONJ,,,
because,ba,,SCONJ,,,
thing,tg,,NOUN,things,,
of,,,SCONJ,,,
become,be,,VERB,becomes,became,becoming
however,hoe,,ADV,,,
part,pa,,NOUN,parts,,
great,ga,,ADJ,,,
work,wr,,VERB,works,worked,working
show,sw,,VERB,shows,showed,showing
work,,,NOUN,works,,
large,lae,,ADJ,,,
small,sa,,ADJ,,,
country,cn,,NOUN,countries,,
by,,,SCONJ,,,
even,e,,ADV,,,
study,sd,,NOUN,studies,,
follow,fo,,VERB,follows,followed,following
in,,,SCONJ,,,
system,sy,,NOUN,systems,,
different,dn,,ADJ,,,
leave,lv,,VERB,leaves,leaved,leaving
place,pe,,NOUN,places,,
try,,,VERB,tries,tried,trying
help,hl,,VERB,helps,helped,helping
run,r,,VERB,runs,ran,running
more,,,ADJ,,,
child,cd,,NOUN,children,,
same,sae,,ADJ,,,
number,nu,,NOUN,numbers,,
old,ol,,ADJ,,,
much,mu,,ADV,,,
call,,,VERB,calls,called,calling
tell,tl,,VERB,tells,told,telling
water,wae,,NOUN,water,,
service,si,,NOUN,services,,
town,to,,NOUN,towns,,
government,get,,NOUN,governments,,
keep,ke,,VERB,keeps,kept,keeping
here,hr,,ADV,,,
family,fa,,NOUN,families,,
still,stl,,ADV,,,
for,fr,,SCONJ,,,
several,sal,,ADJ,,,
feel,fe,,VERB,feels,felt,feeling
start,sta,,VERB,starts,started,starting
ask,ak,,VERB,asks,asked,asking
own,,,ADJ,,,
back,bc,,ADV,,,
consider,cs,,VERB,considers,considered,considering
name,nae,,NOUN,names,,
there,,,ADV,,,
important,io,,ADJ,,,
provide,po,,VERB,provides,provided,providing
each,eah,,DET,,,
step,sp,,NOUN,steps,,
world,wd,,NOUN,worlds,,
What,,,PRON,,,
local,,,ADJ,,,
lead,ld,,VERB,leads,led,leading
after,ar,,SCONJ,,,
home,hm,,NOUN,homes,,
before,bo,,SCONJ,,,
issue,iu,,NOUN,issues,,
group,gu,,NOUN,groups,,
every,ey,,DET,,,
write,wri,,VERB,writes,wrote,writing
most,,,ADJ,,,
last,lat,,ADJ,,,
might,mi,,AUX,,,
few,fw,,ADJ,,,
result,rs,,NOUN,results,,
information,iat,,NOUN,information,,
hold,hd,,VERB,holds,held,holding
state,stae,,NOUN,states,,
put,pt,,VERB,puts,put,putting
process,pc,,NOUN,processes,,
food,fd,,NOUN,foods,,
bring,bn,,VERB,brings,brought,bringing
serve,sv,,VERB,serves,served,serving
case,cse,,NOUN,cases,,
level,,,NOUN,levels,,
another,ant,,DET,,,
minute,mnt,,NOUN,minutes,,
member,mb,,NOUN,members,,
side,sde,,NOUN,sides,,
us,,,PRON,,,
about,au,,ADV,,,
method,md,,NOUN,methods,,
book,bk,,NOUN,books,,
point,pn,,NOUN,points,,
hand,ha,,NOUN,hands,,
